ts_utc,symbol,granularity,rsi_14,ema_20,ema_50,ema_200,ret_1h,ret_4h,ret_24h,vol_1h,vol_4h,vol_24h,macd_hist
2026-02-08 13:00:00+00,ADA-EUR,1h,32.10866119362366,0.28670423692765906,0.28599413785796846,0.28460018161026873,-0.16151561848755505,-0.1638984428344002,0.013732041307365257,,0.08037355231405528,0.06911057464089099,-0.0025911402861244007
2026-02-08 13:00:00+00,AVAX-EUR,1h,49.92009061872865,9.829435694670533,9.88344441392924,9.98164637342434,0.0014694057531800912,0.004800435778187055,-0.02358158917767732,,0.0026237697198214015,0.07386274494960599,0.009290177090220064
2026-02-08 13:00:00+00,BCH-EUR,1h,59.18388787345868,445.66039807695415,440.1856489268675,443.0541759525745,0.012863132271184378,0.004951769324928815,0.012773387818453105,,0.008455843661157146,0.00791652510575925,-0.09505760747218739
2026-02-08 13:00:00+00,BTC-EUR,1h,51.0235705555343,76929.855324392,77093.1828375076,77670.38052633805,0.0009058579347540515,0.0059519893821687025,-0.01092797455776334,,0.0009422837112157967,0.07340225921972568,136.63374309793488
2026-02-08 13:00:00+00,ETH-EUR,1h,50.30609601762343,2324.18904272205,2346.5469957037603,2390.29400348944,-0.0069937700047711165,-0.01411980730497062,-0.028140041000421993,,0.14891012753585936,0.07446201626631553,-5.586368850471224
2026-02-08 13:00:00+00,LINK-EUR,1h,51.15394362425768,9.672657611238805,9.697016021268569,9.794951722931977,0.007969160334275052,0.004461755922470137,-0.00937390018768096,,0.005323412841966196,0.07151480508836425,0.010411384755519596
2026-02-08 13:00:00+00,LTC-EUR,1h,50.07377561618529,58.116246086805376,58.27534693316784,58.66773778869592,0.0011816222800265749,0.0002078802537487258,-0.02245699252792943,,0.004438007507895202,0.07349446636854597,0.03326628986162633
2026-02-08 13:00:00+00,SOL-EUR,1h,49.982270269325106,102.97621441473092,103.2352630471322,104.10211283675713,0.0006636388141705934,0.005598774730802594,-0.016405729502521588,,0.004479618795479633,0.07173409376822773,0.012959353705882942
2026-02-08 13:00:00+00,XRP-EUR,1h,50.836274759711074,1.610426422013613,1.6167051301856334,1.6273946450143582,0.007144846312785156,0.004292314225290848,-0.012505294683495495,,0.004614137398113581,0.07224717067142739,0.0018120369196159393
2026-02-08 12:00:00+00,ADA-EUR,1h,32.4332542549555,0.285002549470709,0.2842189959019768,0.2839743090615633,-0.1631210484299132,-0.16251751706739886,0.01299774594196992,,0.08166268148201983,0.07001214977957335,-0.0026900748920959416
2026-02-08 12:00:00+00,AVAX-EUR,1h,51.701917151939675,9.949291103574959,9.959056048152044,10.011059937034082,0.0069386652288836274,0.006370484477591639,-0.002834073944173221,,0.004953192748054865,0.07116141591440721,0.014197074966899977
2026-02-08 12:00:00+00,BCH-EUR,1h,52.53055666344767,445.0499136640027,439.72556502212103,442.9671139432553,-0.003672934186678448,-0.005839008077146628,-0.005124945477073057,,0.004120876119383301,0.007538419030062596,-0.46726004515527997
2026-02-08 12:00:00+00,BTC-EUR,1h,51.82641157505605,77483.48662439517,77458.99435506425,77833.29212173304,0.003570790461615912,0.007585279891407576,-0.0018537460027882968,,0.005237093379506934,0.07086324498548296,136.74292846574562
2026-02-08 12:00:00+00,DOT-EUR,1h,50.66154044400813,1.5119721321257282,1.5153593449922031,1.526779444443637,0.0026142253993585306,-0.0003983920816788386,-0.010892172225601371,,0.0026509890691458883,0.07087424568099482,0.002056715550842125
